Timestamp,Main Chamber,Buffer Chamber,Buffer Chamber Backing Pump,Load Lock,Load Lock Backing,Cryo Load Lock,Cryo Load Lock Backing
2026-03-09 13:17:56,N/A,N/A,N/A,-1,-1,N/A,N/A
2026-03-09 13:18:11,N/A,N/A,N/A,-1,-1,N/A,N/A
2026-03-09 13:18:26,N/A,N/A,N/A,-1,-1,N/A,N/A
2026-03-09 13:18:41,N/A,N/A,N/A,-1,-1,N/A,N/A
2026-03-09 13:18:56,N/A,N/A,N/A,-1,-1,N/A,N/A
2026-03-09 13:19:42,N/A,N/A,N/A,-1,-1,N/A,N/A
2026-03-09 13:48:34,N/A,N/A,N/A,-1,-1,N/A,N/A
2026-03-09 13:48:49,N/A,N/A,N/A,-1,-1,N/A,N/A
2026-03-09 13:49:04,N/A,N/A,N/A,-1,-1,N/A,N/A
2026-03-09 13:49:19,N/A,N/A,N/A,-1,-1,N/A,N/A
2026-03-09 13:49:35,N/A,N/A,N/A,-1,-1,N/A,N/A
2026-03-09 13:49:50,N/A,N/A,N/A,-1,-1,N/A,N/A
2026-03-09 13:50:05,N/A,N/A,N/A,-1,-1,N/A,N/A
2026-03-09 13:50:20,N/A,N/A,N/A,-1,-1,N/A,N/A
2026-03-09 13:50:35,N/A,N/A,N/A,-1,-1,N/A,N/A
2026-03-09 13:50:50,N/A,N/A,N/A,-1,-1,N/A,N/A
2026-03-09 13:51:05,N/A,N/A,N/A,-1,-1,N/A,N/A
2026-03-09 13:51:21,N/A,N/A,N/A,-1,-1,N/A,N/A
2026-03-09 13:51:36,N/A,N/A,N/A,-1,-1,N/A,N/A
2026-03-09 13:51:51,N/A,N/A,N/A,-1,-1,N/A,N/A
2026-03-09 13:52:06,N/A,N/A,N/A,-1,-1,N/A,N/A
2026-03-09 13:52:21,N/A,N/A,N/A,-1,-1,N/A,N/A
2026-03-09 13:52:36,N/A,N/A,N/A,-1,-1,N/A,N/A
2026-03-09 13:52:51,N/A,N/A,N/A,-1,-1,N/A,N/A
2026-03-09 13:53:07,N/A,N/A,N/A,-1,-1,N/A,N/A
2026-03-09 13:53:22,N/A,N/A,N/A,-1,-1,N/A,N/A
2026-03-09 13:53:37,N/A,N/A,N/A,-1,-1,N/A,N/A
2026-03-09 13:53:52,N/A,N/A,N/A,-1,-1,N/A,N/A
